symbol,V,DM4,DM2,DM1,VA2,DC2,D,VM3_VA5,DL5,VA1v,DA1,DL3,VA1d,VP1l_VP3,DP1m_DC4,VP4_VP1d_VP2,DL2d/v_DP1l_VC3l,VL1_VM1,DC1
DJ-1alpha,0.0,0.03645724647726497,0.0,0.05800785149214656,0.0,0.0,0.0,0.0,0.0,0.09799464788773803,0.0,0.0,0.0,0.13221260947265306,0.0,0.3777159459562242,0.0593592730776009,0.15935910156586544,0.026218433156205707
Rpn13,0.7572333966792819,1.0154345778149152,1.1456504595331516,0.751254544745355,0.7374278724500877,0.2992103100273111,0.026950807632773133,0.9887817977288774,0.6171202520645519,0.5096550863249291,0.6301920221040794,1.7744167511681006,0.41736825661455407,0.9552158538516083,0.2429003376762358,0.9690459247544758,0.7126742949704066,1.3228743338827393,0.7959671170130636
St4,0.0,0.07086164480054773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10107906156508925,0.0,0.0,0.0,0.008827676145126211
CG18568,0.0,0.11922600961244792,0.0,0.0,0.0,0.0,0.0,0.018191598798897885,0.16921816492216793,0.0,0.0,0.0,0.05085731768692962,0.0,0.0,0.0,0.0,0.0,0.031396498384751934
CG6701,0.16507570145096484,0.2447292555943019,0.07262047770716529,0.09788404552176402,0.0,0.0,0.27815109747769806,0.09440525500498397,0.21087526885091423,0.33831549879334144,0.18585481723872901,0.8222081379050238,0.08475693748066605,0.5292288744135132,0.10493489212086872,0.35589569402151355,0.2097125629306477,0.15895914319054122,0.22008632292138589
Ctf4,0.0,0.0507782115146826,0.0,0.0,0.0,0.16633678152684106,0.2649779723666994,0.1268869858103944,0.0,0.0,0.03747926200810357,0.0,0.0,0.0981364683434273,0.0,0.0,0.012455559515705211,0.0,0.0
CG8067,0.2218917891369097,0.2497414063679859,0.08823984457806325,0.0972680201966796,0.08779113384645483,0.2333308918790686,0.0,0.021970770836050778,0.19409813721806368,0.5097067779593006,0.29092353880035327,0.0,0.33242056716426943,0.23513229059281404,0.22127807378856146,0.4564325052865516,0.15247847812325593,0.0,0.18637633487246608
CG18371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03765990946967532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rcd1,0.7470600762515449,0.40313021939150573,0.7860199964794581,0.6518605291927102,1.4323216927088518,1.3289452627110796,1.433978082343128,0.4094684197260688,1.3264684023660414,0.6154607751312569,1.1511575826874736,0.6854963573288174,0.700672547271398,0.661491678549743,0.52721885465183,0.917380463888173,0.6779061368173422,0.227872376000358,0.912627467695321
CG13016,0.0,0.14968916871642904,0.0,0.06747059102486096,0.0,0.0,0.0,0.09895909935241651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07856409395078863,0.10548912500281318,0.07625394586056553
CysRS-m,0.2346825000870837,0.0507782115146826,0.15508882672371513,0.18948071243919934,0.18819028791818007,0.13858275827530628,0.0,0.38930718903061656,0.0,0.23758323593210406,0.03567447334474772,0.0,0.3428334879479366,0.3365473746300791,0.0,0.0,0.08329852112238878,0.0,0.2823040096806298
