symbol,DA1,VA2,DM1,DL3,DA4l,VM4,DM3,DM4,VL2a,DP1l,V,VA1v,VA1d,VC3,VL1,DL4,DL5,DC3,VM3,DM2
Vha36-1,2.715359663743156,2.2944160014947728,2.535014329243276,1.4878723845292687,2.6946962392667624,1.8361135032766127,4.158004196575638,3.2044018120696403,3.1871983898083527,2.9129154263312693,2.529798346985335,3.7675826250276634,2.8626170402521045,4.404026738823737,2.3901294598043172,2.937138422305764,2.0023788105595397,1.8302862153087593,2.9221680263515055,2.811368672654383
l(2)k05819,1.1951795325799777,0.4853475454898677,0.30702338664023004,0.9126174282656514,0.6820376278333575,0.16967786300791554,1.3591536630194456,1.141725423839751,0.0,1.1049556321639333,0.9523179878139446,0.41953341889252466,0.39313673885335026,0.25293883821225366,1.004687591493707,0.7643854714104031,0.0,0.39704177988172495,0.566007965117835,0.550979833734427
Gpo-1,3.373049414370266,2.459606204029604,3.2332417702010186,3.3404962229836137,0.8418601391976293,2.578524671349348,2.011975871792038,2.6800973327797872,2.968780157740688,1.506830048373395,2.0126673080228485,1.7293666505910588,2.3821976594714034,1.5521320798242846,1.8994438768110626,1.0775807221944003,1.7031229698896553,3.470348467509461,2.3338695175499007,1.1259853385839151
Cas,0.33068845964638194,0.872683426956684,1.5864272918184843,0.371283525018797,0.40828531113458055,0.3346025359976941,1.2335838713761345,0.8603401323409744,0.1693288568087526,1.6841992126917609,0.8306638379497547,0.7268491504173715,1.5794612695665484,0.5832824715628397,0.6250869272561856,0.285766579973768,1.7724804391574218,0.5855735009284604,0.6917715903509377,1.411369696440559
ubl,2.4994182050806026,2.693279528682285,2.1954340574841846,3.6593506337159014,2.563510317573526,2.50644328467495,2.801590556920951,3.58228093680266,2.2692284932206572,2.4180210692055706,2.029038438785847,3.798731329241789,3.0795893403493726,1.973232102838223,1.85899948610507,3.7225558936043557,4.514164135102972,3.1050661150255587,3.0908647098883084,1.8279913298689088
lolal,7.6605426311085685,8.13931565642201,6.787937392288177,6.156850746064089,8.191111537559543,7.155175825032855,8.125320665949033,7.656884371864554,8.220223385700988,7.145714168493204,7.5458477231548,7.903278838332129,7.299746201612712,8.106145919482127,7.431859167995002,6.6288218996479475,8.32526438837508,6.782426694785681,8.306426020973575,7.1697444362956695
l(2)09851,0.3373914218974887,1.1572108890300496,0.7644178446598926,0.0,0.5835915647067368,0.0,0.68887129758532,0.3992392074781167,0.8818740532897477,0.32278824438726217,0.8625705215879049,0.6811083335279967,0.793271727812832,0.12702758554285065,0.2406807777260533,0.534840072175926,0.10291450543019294,0.580042979642428,1.081897839263252,0.4485750954985637
dnk,0.9113835447405878,0.6415677398545107,1.0955043462171248,0.7359101258048003,1.5245698575964473,1.017146566297884,0.5369618026919736,1.1096388523649943,1.3676987661571531,0.28783417084560936,0.4317403277479128,0.4860145200536763,1.5797351388560181,0.37957959234759764,0.7322851993451152,1.3903002417612795,0.0,0.795562923404056,1.184333483986802,0.28843832121546514
CG3760,3.3431862416243003,2.877844564937898,5.207540966093775,1.7335983531583259,4.52448410374019,1.927482644554854,4.72525856637204,5.068237152293765,1.9681371734943878,3.349888060155647,3.051513054691352,4.787882955676474,2.8439377737346843,3.736907330608015,1.5196484838140578,3.0489769312659027,3.893613407832207,3.186893368755549,1.9434311066537588,5.0077384424704094
CG10340,1.2624078486536385,4.699800445510426,3.7665790113551516,2.098445012112266,3.0170008100630903,3.1771552204009312,2.898348669342849,2.8762685086924566,2.0710173886801573,2.1962709394751494,1.8291950614679184,3.8856506838267793,2.70967408854763,4.138938289788,1.4612572002693263,3.6586195563127895,3.1271285034640415,2.1026494238383537,2.181077888090844,2.5284780122990225
